onset	duration	trial_type	response_time	correct
11.0	2.2	male_corr_1	0.792	corr
13.2	2.2	female_corr_1	0.653	corr
15.4	2.2	female_corr_1	0.820	corr
17.6	2.2	male_corr_1	0.525	corr
19.8	2.2	male_corr_1	0.886	corr
26.4	2.2	female_corr_1	0.733	corr
33.0	2.2	female_corr_1	0.661	corr
37.4	2.2	female_corr_1	0.696	corr
39.6	2.2	male_corr_1	0.695	corr
41.8	2.2	female_corr_1	0.810	corr
44.0	2.2	male_corr_1	0.660	corr
46.2	2.2	male_corr_1	0.808	corr
50.6	2.2	female_corr_1	0.809	corr
52.8	2.2	male_corr_1	1.059	corr
57.2	2.2	female_corr_1	0.564	corr
59.4	2.2	male_corr_1	0.619	corr
61.6	2.2	female_corr_1	0.671	corr
66.0	2.2	male_corr_1	0.884	corr
68.2	2.2	female_corr_1	0.591	corr
70.4	2.2	female_corr_1	0.836	corr
72.6	2.2	male_corr_1	0.755	corr
74.8	2.2	male_corr_1	0.745	corr
79.2	2.2	male_corr_1	0.692	corr
83.6	2.2	female_corr_1	0.728	corr
88.0	2.2	female_corr_2	0.649	corr
90.2	2.2	male_corr_2	0.677	corr
92.4	2.2	male_corr_2	0.714	corr
101.2	2.2	female_corr_2	0.696	corr
105.6	2.2	male_corr_2	0.813	corr
107.8	2.2	male_corr_2	0.716	corr
114.4	2.2	female_corr_2	0.882	corr
116.6	2.2	male_corr_2	0.938	corr
118.8	2.2	male_corr_2	0.911	corr
121.0	2.2	female_corr_2	0.794	corr
123.2	2.2	male_corr_2	0.883	corr
125.4	2.2	male_corr_2	1.286	corr
127.6	2.2	female_corr_2	0.649	corr
132.0	2.2	male_corr_2	1.177	corr
134.2	2.2	female_corr_2	0.802	corr
138.6	2.2	female_corr_2	1.268	corr
140.8	2.2	female_corr_2	0.574	corr
143.0	2.2	female_corr_2	1.064	corr
145.2	2.2	male_corr_2	1.074	corr
147.4	2.2	female_corr_2	0.888	corr
156.2	2.2	female_corr_2	0.662	corr
158.4	2.2	male_corr_2	0.759	corr
162.8	2.2	female_corr_2	0.696	corr
165.0	2.2	male_corr_2	0.782	corr
167.2	2.2	male_corr_3	0.820	corr
173.8	2.2	male_corr_3	0.976	corr
176.0	2.2	male_corr_3	0.752	corr
178.2	2.2	female_corr_3	1.376	corr
182.6	2.2	male_corr_3	0.789	corr
184.8	2.2	female_corr_3	0.845	corr
189.2	2.2	female_corr_3	0.789	corr
191.4	2.2	male_corr_3	0.840	corr
193.6	2.2	female_corr_3	0.774	corr
195.8	2.2	female_corr_3	1.232	corr
200.2	2.2	female_corr_3	0.880	corr
204.6	2.2	male_corr_3	0.858	corr
206.8	2.2	male_corr_3	1.157	corr
213.4	2.2	female_corr_3	0.748	corr
215.6	2.2	female_corr_3	0.564	corr
217.8	2.2	male_corr_3	0.571	corr
220.0	2.2	female_corr_3	0.866	corr
224.4	2.2	female_corr_3	0.860	corr
228.8	2.2	male_corr_3	1.075	corr
231.0	2.2	male_corr_3	0.753	corr
235.4	2.2	female_corr_3	0.734	corr
239.8	2.2	male_corr_3	0.787	corr
242.0	2.2	female_corr_3	0.976	corr
244.2	2.2	male_corr_3	0.617	corr
